Contract,PaymentMethod,ChurnRate,CustomerCount
Month-to-month,Bank transfer (automatic),0.34125636672325976,589
Month-to-month,Credit card (automatic),0.3278084714548803,543
Month-to-month,Electronic check,0.5372972972972972,1850
Month-to-month,Mailed check,0.3157894736842105,893
One year,Bank transfer (automatic),0.09718670076726342,391
One year,Credit card (automatic),0.10301507537688442,398
One year,Electronic check,0.1844380403458213,347
One year,Mailed check,0.06845238095238096,336
Two year,Bank transfer (automatic),0.033807829181494664,562
Two year,Credit card (automatic),0.022413793103448276,580
Two year,Electronic check,0.07738095238095238,168
Two year,Mailed check,0.008,375
